iter	Passed	Remaining
0	376	375949
1	684	341458
2	1088	361770
3	1409	351008
4	1727	343736
5	2039	337795
6	2332	330906
7	2655	329252
8	3020	332627
9	3324	329086
10	3695	332251
11	4007	329938
12	4294	326015
13	4627	325906
14	4935	324103
15	5194	319451
16	5414	313105
17	5630	307152
18	5870	303116
19	6141	300916
20	6412	298948
21	6696	297696
22	6955	295438
23	7239	294417
24	7517	293199
25	7782	291530
26	8051	290152
27	8301	288176
28	8560	286634
29	8824	285324
30	9111	284804
31	9379	283743
32	9648	282729
33	9910	281579
34	10162	280183
35	10400	278500
36	10634	276779
37	10907	276134
38	11204	276078
39	11452	274854
40	11685	273329
41	11922	271942
42	12190	271304
43	1240	24332	5644	1241	24607	5645	1242	24902	5546	1343	25234	5447	1344	25546	5448	14034	272388
49	14454	274629
50	14741	274300
51	14981	273128
52	15221	271973
53	15468	270981
54	1551	27642	5055	1552	27996	5056	1653	28306	4957	1654	28591	4958	1655	28893	487062
56	29218	483394
57	29541	479800
58	29835	475845
59	30141	472219
60	30438	468554
61	30760	465370
62	31121	462863
63	31423	459569
64	31693	455905
65	31947	452110
66	32241	448976
67	32484	445233
68	32744	441807
69	32977	438132
70	33238	434906
71	33506	431865
72	33732	428360
73	33996	425417
74	34201	421812
75	34442	418746
76	34681	415722777	34989	413598778	35214	41053679	34956	402001
80	35285	400337
81	35666	399290
82	35962	397325
83	36230	395084
84	36516	393093
85	36813	391251
86	37097	389315
87	37356	387146
88	37658	385470
89	37922	383443
90	38230	381881
91	38628	381250
92	39006	380419
93	39365	379419
94	39662	377837
95	40246	378988
96	40746	379318
97	41118	378457
98	41735	379833
99	42317	380859
100	42799	380954
101	43279	381028
102	43679	380391
103	44044	379461
104	44345	377992
105	44612	376258
106	44917	374872
107	45330	374396
108	45590	372674
109	45838	370875
110	46089	369132
111	46413	367995
112	46709	366647
113	46934	364775
114	47174	363038
115	47424	361406
116	47685	359883
117	47952	358424
118	48222	357011
119	48487	355577
120	48760	354220
121	49096	353333
122	49425	352409
123	49832	352040
124	50111	350781
125	50402	349617
126	50751	348863
127	51101	348130
128	51456	347432
129	51773	346484
130	52099	345608
131	52421	344709
132	52642	343168
133	52934	342097
134	53356	341878
135	53664	340924
136	53971	339980
137	54317	339289
138	54702	338840
139	54994	337824
140	55301	336910
141	55637	336175
142	55953	335331
143	56253	334394
144	56636	333962
145	56938	333053
146	57300	332497
147	57589	331529
148	57959	331030
149	58283	330275
150	58539	329140
151	58765	327850
152	59019	326727
153	59280	325657
154	59577	324792
155	59896	324056
156	60129	322863
157	60744	323712
158	61061	322975
159	61359	322138
160	61724	321658
161	62055	321002
162	62377	320308
163	62738	319814
164	63173	319697
165	63575	319409
166	63920	318838
167	64245	318168
168	64530	317307
169	64850	316622
170	65163	315909
171	65441	315031
172	65747	314297
173	66031	313459
174	66331	312703
175	66616	311885
176	66859	310877
177	67116	309941
178	67356	308937
179	67584	307884
180	67847	307001
181	68082	305996
182	68295	304903
183	68542	303972
184	68903	303549
185	69161	302676
186	69388	301672
187	69715	301111
188	69966	300225
189	70224	299376
190	70497	298598
191	70732	297667
192	70945	296646
193	71187	295758
194	71393	294727
195	71644	293889
196	71855	292892
197	72082	291972
198	72330	291141
199	72545	290183
200	72755	289210
201	72990	288346
202	73216	287455
203	73414	286459
204	73686	285759
205	73854	284663
206	74097	283861
207	74330	283026
208	74580	282264
209	74897	281756
210	75163	281062
211	75404	280275
212	75665	279573
213	75933	278897
214	76297	278575
215	76585	277977
216	76849	277294
217	77085	276519
218	77354	275864
219	77602	275135
220	77840	274377
221	78242	274202
222	78539	273653
223	78754	272828
224	78980	272044
225	79168	271134
226	79413	270426
227	79671	269765
228	79899	269007
229	80121	268232
230	80348	267480
231	80573	266726
232	80800	265984
233	81022	265228
234	81267	264552
235	81480	263775
236	81722	263097
237	81978	262468
238	82208	261759
239	82441	261063
240	82699	260450
241	82935	259772
242	83149	259029
243	83389	258371
244	83609	257653
245	83859	257033
246	84100	256386
247	84338	255734
248	84590	255129
249	84829	254487
250	85075	253870
251	85327	253273
252	85570	252651
253	85804	252009
254	86044	251384
255	86280	250751
256	86522	250140
257	86774	249559
258	87025	248979
259	87256	248345
260	87494	247734
261	87724	247102
262	87964	246500
263	88297	246163
264	88557	245622
265	88798	245030
266	89030	244417
267	89294	243895
268	89539	243321
269	89778	242734
270	90029	242183
271	90279	241630
272	90535	241097
273	90803	240595
274	91046	240031
275	91305	239511
276	91556	238971
277	91788	238386
278	92002	237755
279	92232	237170
280	92487	236650
281	92718	236070
282	92969	235544
283	93213	235004
284	93459	234469
285	93715	233961
286	93950	233404
287	94191	232862
288	94403	232251
289	94659	231752
290	94897	231210
291	95149	230704
292	95396	230189
293	95652	229696
294	95907	229203
295	96156	228696
296	96375	228121
297	96616	227600
298	96855	227076
299	97123	226621
300	97372	226123
301	97639	225670
302	97869	225132
303	98079	224550
304	98294	223982
305	98560	223531
306	98785	222990
307	99035	222507
308	99277	222009
309	99527	221528
310	99767	221028
311	100015	220547
312	100266	220072
313	100484	219530
314	100706	218996
315	100990	218599
316	101196	218035
317	101435	217542
318	101692	217093
319	101954	216652
320	102210	216203
321	102453	215725
322	102722	215304
323	102987	214875
324	103220	214380
325	103464	213911
326	103679	213382
327	103885	212838
328	104126	212368
329	104345	211852
330	104581	211375
331	104826	210915
332	105074	210464
333	105320	210010
334	105569	209563
335	105812	209105
336	106022	208583
337	106251	208102
338	106481	207623
339	106696	207117
340	106939	206665
341	107167	206188
342	107406	205732
343	107646	205279
344	107870	204797
345	108091	204311
346	108340	203880
347	108585	203442
348	108785	202919
349	109005	202438
350	109234	201975
351	109468	201522
352	109744	201147
353	109970	200680
354	110223	200265
355	110459	199820
356	110695	199376
357	110922	198917
358	111171	198497
359	111435	198107
360	111674	197673
361	111940	197288
362	112162	196825
