iter	RMSE
0	55.63363087
1	49.63771642
2	44.35062657
3	39.67935945
4	35.53721034
5	31.86353658
6	28.62779992
7	25.76876506
8	23.25087877
9	20.99423751
10	18.98450737
11	17.19847828
12	15.6342128
13	14.27313797
14	13.06182193
15	11.9928313
16	11.05255516
17	10.21124376
18	9.483015544
19	8.825420835
20	8.25199265
21	7.739034901
22	7.302629837
23	6.927888095
24	6.574655203
25	6.273693078
26	6.017869698
27	5.79647854
28	5.611239008
29	5.424356369
30	5.272067672
31	5.146524474
32	5.025152594
33	4.929523715
34	4.836799122
35	4.756121641
36	4.688722294
37	4.616424673
38	4.552514371
39	4.504212431
40	4.461519012
41	4.421358077
42	4.387510517
43	4.35669478
44	4.324611693
45	4.299928889
46	4.276136091
47	4.24849832
48	4.229251754
49	4.208920053
50	4.184018599
51	4.166579614
52	4.149656311
53	4.132009009
54	4.115339652
55	4.09576708
56	4.083617957
57	4.067082925
58	4.059157508
59	4.044692205
60	4.03493529
61	4.025464321
62	4.01562969
63	4.008718308
64	3.993879599
65	3.977916921
66	3.96802999
67	3.959476739
68	3.949470372
69	3.943010688
70	3.936810844
71	3.927395807
72	3.917066635
73	3.90853421
74	3.89814791
75	3.891211774
76	3.881029223
77	3.870339623
78	3.863947428
79	3.859302272
80	3.855003424
81	3.846206367
82	3.840847607
83	3.833392301
84	3.826583325
85	3.822001362
86	3.814980358
87	3.810790895
88	3.806926317
89	3.802488948
90	3.7968927
91	3.794124879
92	3.788895888
93	3.786218736
94	3.781083504
95	3.77588287
96	3.77077536
97	3.76521621
98	3.759506857
99	3.754960329
100	3.751034096
101	3.746942606
102	3.744264442
103	3.740272588
104	3.736909144
105	3.733119761
106	3.730204009
107	3.726699258
108	3.725227162
109	3.720988577
110	3.718376438
111	3.715208728
112	3.712369196
113	3.70931847
114	3.707267796
115	3.704035837
116	3.701229438
117	3.698403879
118	3.695517676
119	3.69189484
120	3.688989921
121	3.685796803
122	3.683698679
123	3.680450133
124	3.677361018
125	3.675126075
126	3.673032965
127	3.670118627
128	3.668336797
129	3.665873266
130	3.663773171
131	3.661857201
132	3.660031164
133	3.658055684
134	3.656134849
135	3.654469772
136	3.652234472
137	3.650197834
138	3.648649343
139	3.647141213
140	3.645183282
141	3.643443433
142	3.64131935
143	3.639879599
144	3.637596901
145	3.63562821
146	3.633397594
147	3.63153454
148	3.630379968
149	3.629070552
150	3.627640049
151	3.626778401
152	3.625125088
153	3.623782588
154	3.622469123
155	3.621751765
156	3.620482794
157	3.619450996
158	3.61793332
159	3.616453167
160	3.61477664
161	3.613747479
162	3.611966985
163	3.610936169
164	3.609479005
165	3.608894285
166	3.607958279
167	3.606405723
168	3.604461423
169	3.602862294
170	3.60150318
171	3.600002788
172	3.598518378
173	3.597382616
174	3.595982892
175	3.59525505
176	3.59413606
177	3.592945545
178	3.591842608
179	3.590578005
180	3.588829118
181	3.587378089
182	3.586498029
183	3.585272938
184	3.584779128
185	3.583803453
186	3.582735869
187	3.581400414
188	3.580461565
189	3.579374422
190	3.577896141
191	3.576756499
192	3.575895794
193	3.574531649
194	3.573119384
195	3.572020358
196	3.571247888
197	3.569859255
198	3.568965827
199	3.568077145
200	3.566938238
201	3.565910477
202	3.565103441
203	3.563951213
204	3.562977106
205	3.562088777
206	3.561041528
207	3.559923398
208	3.558770781
209	3.5574711
210	3.557052177
211	3.556390682
212	3.555535626
213	3.55482789
214	3.554436803
215	3.55359166
216	3.552733726
217	3.551727347
218	3.550524494
219	3.549613799
220	3.549196372
221	3.548441813
222	3.547926197
223	3.547048337
224	3.546452808
225	3.545902484
226	3.545151266
227	3.54420549
228	3.543838241
229	3.54294658
230	3.541853503
231	3.540874512
232	3.540552661
233	3.539822756
234	3.538987254
