iter	Passed	Remaining
0	20	20454
1	40	20073
2	58	19385
3	75	18805
4	95	18949
5	112	18607
6	129	18336
7	145	18005
8	161	17836
9	178	17653
10	194	17505
11	210	17364
12	226	17212
13	242	17073
14	259	17017
15	275	16962
16	291	16872
17	307	16789
18	323	16721
19	339	16650
20	355	16584
21	373	16587
22	389	16526
23	404	16431
24	420	16401
25	435	16328
26	450	16240
27	465	16169
28	481	16107
29	497	16074
30	512	16031
31	528	15996
32	544	15959
33	558	15880
34	574	15828
35	588	15770
36	603	15715
37	620	15705
38	635	15670
39	650	15614
40	665	15573
41	681	15536
42	695	15475
43	709	15417
44	724	15381
45	740	15347
46	754	15301
47	769	15262
48	784	15222
49	799	15186
50	814	15152
51	830	15143
52	845	15104
53	860	15081
54	876	15051
55	892	15038
56	906	14992
57	921	14972
58	935	14924
59	952	14925
60	967	14893
61	982	14860
62	997	14836
63	1012	14801
64	1028	14796
65	1045	14792
66	1061	14783
67	1076	14750
68	1091	14726
69	1111	14762
70	1125	14721
71	1141	14709
72	1157	14693
73	1173	14685
74	1190	14688
75	1205	14652
76	1223	14668
77	1239	14647
78	1255	14632
79	1269	14595
80	1284	14571
81	1300	14555
82	1313	14516
83	1330	14506
84	1346	14494
85	1361	14472
86	1376	14445
87	1392	14435
88	1407	14407
89	1421	14377
90	1436	14352
91	1451	14327
92	1467	14307
93	1481	14274
94	1497	14267
95	1512	14241
96	1528	14226
97	1544	14215
98	1559	14197
99	1576	14184
100	1591	14162
101	1604	14129
102	1618	14096
103	1633	14069
104	1648	14048
105	1663	14032
106	1679	14013
107	1694	13994
108	1707	13961
109	1724	13952
110	1739	13933
111	1754	13911
112	1769	13886
113	1783	13862
114	1798	13838
115	1813	13822
116	1827	13795
117	1842	13771
118	1857	13749
119	1873	13739
120	1889	13724
121	1905	13713
122	1921	13703
123	1939	13698
124	1954	13681
125	1968	13652
126	1982	13626
127	1997	13610
128	2011	13582
129	2028	13573
130	2044	13561
131	2058	13535
132	2072	13510
133	2087	13494
134	2103	13476
135	2118	13456
136	2132	13431
137	2146	13408
138	2161	13386
139	2176	13368
140	2192	13355
141	2207	13337
142	2221	13315
143	2235	13291
144	2252	13279
145	2267	13265
146	2283	13250
147	2299	13239
148	2314	13221
149	2329	13202
150	2344	13181
151	2357	13155
152	2372	13136
153	2386	13111
154	2402	13098
155	2416	13073
156	2430	13050
157	2445	13031
158	2460	13012
159	2476	12999
160	2491	12984
161	2505	12961
162	2521	12950
163	2536	12928
164	2551	12914
165	2565	12887
166	2579	12865
167	2598	12867
168	2615	12858
169	2630	12842
170	2645	12825
171	2661	12812
172	2676	12794
173	2690	12772
174	2706	12757
175	2719	12732
176	2734	12712
177	2750	12700
178	2766	12687
179	2780	12667
180	2794	12646
181	2810	12633
182	2825	12615
183	2842	12607
184	2857	12587
185	2873	12575
186	2890	12568
187	2908	12560
188	2925	12554
189	2943	12546
190	2959	12536
191	2976	12524
192	2992	12511
193	3010	12506
194	3027	12499
195	3044	12487
196	3059	12470
197	3076	12461
198	3093	12449
199	3110	12440
200	3128	12436
201	3145	12425
202	3162	12416
203	3181	12413
204	3199	12406
205	3217	12401
206	3234	12390
207	3251	12381
208	3270	12376
209	3287	12365
210	3302	12349
211	3320	12341
212	3337	12333
213	3355	12323
214	3369	12303
215	3386	12291
216	3404	12283
217	3422	12275
218	3441	12271
219	3459	12264
220	3476	12253
221	3494	12247
222	3510	12232
223	3528	12222
224	3543	12207
225	3558	12186
226	3574	12172
227	3591	12159
228	3606	12141
229	3624	12133
230	3642	12126
231	3659	12113
232	3674	12094
233	3690	12079
234	3709	12074
235	3725	12061
236	3744	12056
237	3760	12040
238	3775	12021
239	3792	12009
240	3807	11991
241	3824	11979
242	3841	11966
243	3857	11951
244	3874	11939
245	3891	11927
246	3907	11911
247	3924	11901
248	3940	11885
249	3956	11870
250	3973	11857
251	3989	11842
252	4006	11829
253	4020	11809
254	4038	11797
255	4053	11781
256	4069	11765
257	4086	11752
258	4102	11738
259	4119	11724
260	4135	11708
261	4152	11696
262	4168	11679
263	4192	11686
264	4218	11701
265	4239	11698
266	4257	11688
267	4275	11678
268	4293	11667
269	4311	11656
270	4330	11648
271	4350	11643
272	4367	11630
273	4383	11614
274	4400	11602
275	4417	11588
276	4434	11573
277	4451	11560
278	4467	11545
279	4484	11531
280	4502	11520
281	4519	11505
282	4534	11489
283	4549	11470
284	4567	11458
285	4583	11441
286	4598	11425
287	4615	11410
288	4632	11395
289	4650	11386
290	4667	11372
291	4683	11356
292	4699	11340
293	4714	11322
294	4730	11304
295	4745	11287
296	4763	11275
297	4779	11260
298	4795	11244
299	4812	11228
300	4828	11212
301	4842	11192
302	4857	11174
303	4873	11157
304	4889	11142
305	4904	11123
306	4919	11105
307	4935	11088
308	4950	11071
309	4966	11053
310	4982	11039
311	5002	11030
312	5018	11014
313	5036	11003
314	5054	10991
315	5071	10978
316	5088	10963
317	5104	10947
318	5121	10933
319	5139	10921
320	5156	10906
321	5171	10888
322	5188	10875
323	5206	10863
324	5222	10846
325	5240	10833
326	5255	10816
327	5272	10802
328	5287	10784
329	5303	10766
330	5320	10754
331	5339	10742
332	5357	10730
333	5374	10716
334	5393	10705
335	5410	10692
336	5427	10678
337	5444	10663
338	5462	10651
339	5478	10635
340	5495	10620
341	5512	10605
342	5528	10589
343	5543	10570
344	5560	10556
345	5578	10543
346	5594	10527
347	5611	10512
348	5629	10500
349	5645	10484
350	5662	10469
351	5679	10455
352	5696	10441
353	5713	10426
354	5731	10413
355	5748	10399
356	5765	10383
357	5780	10365
358	5797	10351
359	5812	10332
360	5829	10319
361	5848	10307
362	5865	10293
363	5884	10280
364	5901	10266
365	5918	10252
366	5936	10238
367	5952	10223
368	5970	10209
369	5988	10196
370	6003	10178
371	6021	10165
372	6035	10145
373	6049	10126
374	6067	10111
375	6087	10102
376	6103	10085
377	6118	10067
378	6134	10050
379	6148	10031
380	6163	10013
381	6180	9999
382	6198	9985
383	6215	9970
384	6232	9956
385	6252	9946
386	6268	9929
387	6285	9913
388	6301	9897
389	6318	9883
390	6336	9868
391	6354	9855
392	6371	9841
393	6390	9829
394	6408	9815
395	6425	9800
396	6441	9784
397	6456	9766
398	6472	9749
399	6490	9735
400	6505	9717
401	6522	9702
402	6541	9690
403	6558	9675
404	6574	9659
405	6591	9644
406	6606	9626
407	6623	9610
408	6639	9593
409	6654	9576
410	6671	9560
411	6689	9547
412	6707	9533
413	6722	9515
414	6739	9500
415	6755	9483
416	6772	9468
417	6786	9449
418	6804	9434
419	6818	9415
420	6834	9399
421	6850	9383
422	6865	9365
423	6882	9350
424	6901	9337
425	6918	9322
426	6938	9310
427	6956	9297
428	6973	9282
429	6993	9270
430	7012	9257
431	7029	9242
432	7048	9230
433	7066	9216
434	7084	9201
435	7101	9186
436	7117	9170
437	7134	9154
438	7149	9136
439	7165	9119
440	7182	9104
441	7199	9089
442	7215	9072
443	7230	9054
444	7247	9038
445	7264	9023
446	7281	9007
447	7297	8991
448	7313	8975
449	7329	8958
450	7346	8943
451	7361	8925
452	7377	8908
453	7394	8893
454	7410	8875
455	7423	8856
456	7440	8840
457	7452	8819
458	7467	8801
459	7482	8784
460	7497	8765
461	7513	8749
462	7530	8734
463	7544	8715
464	7561	8699
465	7575	8681
466	7593	8666
467	7609	8649
468	7624	8632
469	7641	8616
470	7655	8598
471	7669	8579
472	7684	8562
473	7702	8547
474	7719	8531
475	7732	8512
476	7748	8495
477	7765	8479
478	7779	8461
479	7795	8445
480	7812	8429
481	7828	8412
482	7843	8395
483	7857	8377
484	7872	8359
485	7888	8342
486	7903	8325
487	7917	8306
488	7932	8289
489	7948	8272
490	7963	8255
491	7977	8236
492	7992	8219
493	8006	8201
494	8022	8184
495	8039	8169
496	8052	8150
497	8069	8133
498	8085	8118
499	8103	8103
500	8117	8085
501	8133	8068
502	8149	8052
503	8164	8034
504	8181	8019
505	8197	8002
506	8213	7986
507	8231	7972
508	8245	7953
509	8260	7936
510	8276	7919
511	8291	7902
512	8307	7886
513	8322	7869
514	8336	7851
515	8351	7833
516	8368	7817
517	8384	7801
518	8401	7786
519	8417	7769
520	8432	7752
521	8450	7738
522	8465	7720
523	8481	7704
524	8495	7686
525	8510	7669
526	8525	7651
527	8540	7635
528	8554	7616
529	8570	7600
530	8584	7581
531	8598	7564
532	8614	7547
533	8628	7530
534	8644	7513
535	8660	7496
536	8675	7479
537	8688	7461
538	8703	7444
539	8720	7428
540	8736	7412
541	8751	7395
542	8764	7375
543	8779	7358
544	8794	7342
545	8809	7324
546	8823	7307
547	8839	7290
548	8853	7272
549	8870	7257
550	8885	7240
551	8900	7223
552	8916	7207
553	8932	7191
554	8948	7175
555	8963	7158
556	8978	7141
557	8992	7122
558	9007	7106
559	9022	7089
560	9038	7072
561	9054	7056
562	9069	7039
563	9084	7022
564	9099	7005
565	9116	6990
566	9132	6974
567	9149	6958
568	9164	6941
569	9180	6925
570	9196	6909
571	9212	6893
572	9227	6876
573	9242	6859
574	9257	6842
575	9273	6825
576	9288	6809
577	9306	6794
578	9320	6776
579	9335	6760
580	9350	6743
581	9367	6727
582	9381	6710
583	9399	6695
584	9413	6678
585	9431	6663
586	9445	6645
587	9461	6629
588	9475	6612
589	9489	6594
590	9504	6577
591	9521	6562
592	9538	6546
593	9553	6529
594	9568	6512
595	9583	6496
596	9597	6478
597	9611	6461
598	9626	6444
599	9641	6427
600	9657	6411
601	9670	6393
602	9685	6376
603	9700	6359
604	9715	6343
605	9729	6325
606	9744	6309
607	9758	6291
608	9772	6274
609	9788	6258
610	9804	6242
611	9818	6224
612	9832	6207
613	9849	6191
614	9862	6174
615	9878	6158
616	9892	6140
617	9907	6123
618	9923	6107
619	9937	6090
620	9952	6074
621	9969	6058
622	9984	6041
623	10002	6027
624	10015	6009
625	10030	5992
626	10046	5976
627	10061	5960
628	10075	5942
629	10090	5925
630	10103	5908
631	10117	5891
632	10133	5875
633	10148	5858
634	10164	5842
635	10181	5827
636	10197	5811
637	10212	5794
638	10227	5778
639	10242	5761
640	10256	5744
641	10272	5728
642	10287	5711
643	10303	5695
644	10319	5679
645	10335	5663
646	10350	5647
647	10365	5630
648	10382	5614
649	10396	5598
650	10412	5582
651	10430	5567
652	10443	5549
653	10460	5534
654	10474	5516
655	10490	5501
656	10505	5484
657	10521	5468
658	10537	5452
659	10553	5436
660	10566	5419
661	10580	5402
662	10594	5385
663	10609	5368
664	10625	5352
665	10641	5336
666	10655	5319
667	10670	5303
668	10683	5285
669	10697	5269
670	10710	5251
671	10722	5233
672	10737	5217
673	10752	5200
674	10766	5183
675	10783	5168
676	10800	5152
677	10815	5136
678	10831	5120
679	10847	5104
680	10862	5088
681	10880	5073
682	10896	5057
683	10912	5041
684	10926	5024
685	10940	5007
686	10957	4992
687	10972	4975
688	10986	4959
689	11002	4943
690	11018	4927
691	11035	4911
692	11052	4896
693	11067	4879
694	11082	4863
695	11097	4847
696	11112	4830
697	11127	4814
698	11142	4798
699	11157	4781
700	11173	4765
701	11190	4750
702	11205	4733
703	11219	4717
704	11236	4701
705	11252	4685
706	11268	4669
707	11281	4652
708	11296	4636
709	11308	4619
710	11323	4602
711	11340	4587
712	11359	4572
713	11375	4556
714	11389	4539
715	11402	4522
716	11419	4507
717	11432	4490
718	11448	4474
719	11464	4458
720	11478	4441
721	11492	4425
722	11509	4409
723	11526	4394
724	11541	4377
725	11555	4361
726	11569	4344
727	11585	4328
728	11600	4312
729	11614	4295
730	11629	4279
731	11645	4263
732	11661	4247
733	11676	4231
734	11691	4215
735	11709	4199
736	11728	4185
737	11751	4171
738	11769	4156
739	11785	4140
740	11801	4125
741	11816	4108
742	11832	4092
743	11846	4076
744	11859	4059
745	11875	4043
746	11889	4026
747	11905	4010
748	11919	3994
749	11935	3978
750	11951	3962
751	11967	3946
752	11982	3930
753	11996	3914
754	12011	3897
755	12026	3881
756	12041	3865
757	12056	3849
758	12072	3833
759	12088	3817
760	12104	3801
761	12119	3785
762	12133	3768
763	12148	3752
764	12162	3736
765	12176	3719
766	12192	3703
767	12207	3687
768	12222	3671
769	12238	3655
770	12252	3639
771	12267	3622
772	12279	3606
773	12295	3590
774	12309	3573
775	12323	3557
776	12337	3540
777	12352	3524
778	12367	3508
779	12381	3492
780	12397	3476
781	12410	3459
782	12429	3444
783	12445	3428
784	12462	3413
785	12477	3397
786	12493	3381
787	12507	3365
788	12523	3349
789	12538	3333
790	12552	3316
791	12570	3301
792	12585	3285
793	12602	3269
794	12619	3254
795	12633	3237
796	12649	3221
797	12664	3205
798	12679	3189
799	12695	3173
800	12711	3158
801	12725	3141
802	12738	3125
803	12755	3109
804	12769	3093
805	12783	3076
806	12797	3060
807	12810	3044
808	12825	3028
809	12842	3012
810	12857	2996
811	12869	2979
812	12882	2963
813	12894	2946
814	12909	2930
815	12925	2914
816	12940	2898
817	12954	2882
818	12971	2866
819	12985	2850
820	13000	2834
821	13017	2818
822	13033	2803
823	13048	2787
824	13065	2771
825	13081	2755
826	13096	2739
827	13110	2723
828	13126	2707
829	13142	2691
830	13156	2675
831	13171	2659
832	13185	2643
833	13200	2627
834	13214	2611
835	13231	2595
836	13246	2579
837	13261	2563
838	13277	2547
839	13293	2532
840	13309	2516
841	13325	2500
842	13340	2484
843	13357	2468
844	13373	2453
845	13388	2437
846	13402	2421
847	13420	2405
848	13436	2389
849	13452	2373
850	13469	2358
851	13484	2342
852	13499	2326
853	13514	2310
854	13530	2294
855	13547	2279
856	13562	2263
857	13578	2247
858	13594	2231
859	13610	2215
860	13626	2199
861	13641	2183
862	13656	2167
863	13668	2151
864	13682	2135
865	13698	2119
866	13714	2103
867	13729	2087
868	13745	2072
869	13760	2056
870	13776	2040
871	13791	2024
872	13807	2008
873	13822	1992
874	13837	1976
875	13853	1960
876	13869	1945
877	13886	1929
878	13901	1913
879	13917	1897
880	13933	1882
881	13948	1866
882	13963	1850
883	13978	1834
884	13994	1818
885	14009	1802
886	14022	1786
887	14039	1770
888	14056	1755
889	14071	1739
890	14087	1723
891	14102	1707
892	14116	1691
893	14131	1675
894	14146	1659
895	14163	1644
896	14180	1628
897	14197	1612
898	14212	1596
899	14227	1580
900	14242	1564
901	14258	1549
902	14273	1533
903	14287	1517
904	14301	1501
905	14317	1485
906	14334	1469
907	14347	1453
908	14364	1437
909	14378	1422
910	14395	1406
911	14412	1390
912	14427	1374
913	14443	1359
914	14458	1343
915	14474	1327
916	14491	1311
917	14506	1295
918	14522	1279
919	14537	1264
920	14551	1248
921	14567	1232
922	14582	1216
923	14596	1200
924	14610	1184
925	14626	1168
926	14641	1152
927	14656	1137
928	14670	1121
929	14685	1105
930	14699	1089
931	14716	1073
932	14732	1057
933	14748	1042
934	14764	1026
935	14781	1010
936	14798	995
937	14813	979
938	14830	963
939	14845	947
940	14860	931
941	14876	915
942	14890	900
943	14906	884
944	14924	868
945	14938	852
946	14954	836
947	14970	821
948	14985	805
949	15002	789
950	15019	773
951	15034	758
952	15047	742
953	15063	726
954	15078	710
955	15093	694
956	15107	678
957	15119	662
958	15132	646
959	15147	631
960	15163	615
961	15177	599
962	15193	583
963	15211	568
964	15227	552
965	15244	536
966	15260	520
967	15275	504
968	15290	489
969	15305	473
970	15321	457
971	15337	441
972	15352	426
973	15368	410
974	15384	394
975	15399	378
976	15413	362
977	15428	347
978	15445	331
979	15461	315
980	15475	299
981	15488	283
982	15503	268
983	15518	252
984	15532	236
985	15549	220
986	15561	204
987	15578	189
988	15593	173
989	15606	157
990	15622	141
991	15638	126
992	15655	110
993	15669	94
994	15682	78
995	15696	63
996	15713	47
997	15730	31
998	15745	15
999	15759	0
